id,title,popularity,imdb_id,averageRating,num_votes,title_type,start_year,tags
2,Ariel,28.459,tt0094675,7.4,8653,movie,1988, crime comedy romance drama prison underdog helsinki finland factory-worker prisoner falling-in-love crimes man works finnish father framed suicide closes living imprisoned leaves city commits coal
851972,Swallowed,12.329,tt14960854,5.3,2608,movie,2022, horror thriller plan-gone-wrong lgbt queer drug-deal gay-theme body-horror best-friends deliver package benjamin border night pocketful kids send friends friend dom cash plans
5,Four Rooms,11.598,tt0113101,6.7,112100,movie,1995, comedy hotel new-years-eve witch bet sperm hotel-room anthology los-angeles california hoodlum multiple-storylines woman-director guests service predicaments night hotel serving bellhop place unbelievable ted job room unusual outrageous happening evening
983044,The Arctic Convoy,18.919,tt27724113,6.6,2156,movie,2023, war action history drama world-war-ii based-on-true-story norwegian-resistance norwegian-history inexperienced union destination attacks relentless air allied carrying soviet fight sailors arctic brutal faces civilian naval german catastrophic 1942 errors expose conditions escort convoy iceland deadly 12 vital making survival 35 challenges supplies intelligence ships
11,Star Wars,76.553,tt0076759,8.6,1469499,movie,1977,star wars collection fantasy action adventure sci-fi empire galaxy rebellion android hermit smuggling-(contraband) freedom rebel rescue-mission space planet desert super-power oppression space-opera nostalgic wizard totalitarianism leia luke venturesome restore imperial galactic justice empire rescue team dashing captured skywalker robot beautiful princess solo han captain peace held evil loveable duo 3po forces effort hostage
12,Finding Nemo,85.0,tt0266543,8.2,1128854,movie,2003,finding nemo collection comedy animation adventure family sydney australia parent-child-relationship anthropomorphism harbor underwater shark pelican fish-tank great-barrier-reef sea-turtle missing-child aftercreditsstinger duringcreditsstinger short-term-memory-loss clownfish father-son-reunion protective-father inspirational lighthearted comforting melodramatic hypnotic worrisome clownfish fish father dory barrier seagulls dentist great vegetarian marlin surfer unexpectedly dude bring young jellyfish turtles reef office meeting forgetful friendly sharks hungry nemo aquarium adventurous
13,Forrest Gump,87.405,tt0109830,8.8,2298004,movie,1994, comedy romance drama vietnam-war vietnam-veteran mentally-disabled friendship usa-president washington-dc usa post-traumatic-stress-disorder-(ptsd) waitress based-on-novel-or-book hippie single-parent parent-child-relationship optimism 1970s drug-addiction autism alabama black-panther-party bus-stop family-relationships chameleon single-mother military anti-war-protest 1960s college-american-football mother-son-relationship reminiscent amused enthusiastic feel-good man accomplished achieved great low historic true love life eludes things exceeding events imagined case
14,American Beauty,30.522,tt0169547,8.3,1222905,movie,1999, drama estate-agent adultery coming-out first-time virgin cheating parent-child-relationship age-difference midlife-crisis cheerleader dark-comedy rose satire dysfunctional-family suburbia coming-of-age sexual-fantasy dysfunctional-marriage marijuana loneliness love-affair exercise extramarital-affair realtor quitting-a-job voyeur neighborhood retired-army-man closeted-homosexual singing-in-a-car gay-theme existential teenager camcorder burnham depressed lester crisis developing father suburban attractive life decides daughter infatuation friend turn mid hectic
15,Citizen Kane,20.117,tt0033467,8.3,470740,movie,1941, mystery drama media-tycoon florida art-collector newspaper capitalist journalist sleigh banker american-dream failure money snowglobes child pretentious based-on-real-person industrialist meaning wounding tyrannical newspaper charles rest mother magnate rich reaction foster life ward kane boy result event destructive appears deeply
16,Dancer in the Dark,17.928,tt0168629,7.9,118070,movie,2000, crime musical drama factory-worker dying-and-death individual immigrant blindness-and-impaired-vision dancing eye-operation small-town naivety hereditary-disease robbery court musical female-friendship murder debt execution police-officer trailer daydreaming coping-mechanisms mother-son-relationship fate verge blindness moment inherited beats expensive dreaming selma escaping surroundings czech learns love struggles life son difficult immigrant genetic disorder numbers operation musicals meet ends troubles cope suffer rhythmic
