,id,title,popularity,imdb_id,averageRating,num_votes,title_type,start_year,tags
0,242722,Shrimad Ramayan,3216.286,tt30145246,9.1,1580,tvSeries,2024,drama family ramayana ramayan shrimad-ramayana shrimad television series cultural deep ramayan reverence ambitious epic timeless contemporary sensibility brings commitment life authenticity
1,31342,A Fazenda,2661.898,tt1842561,4.9,126,tvSeries,2009,reality  couto website chance claim months round celebrity grand owned farm season reality directed current weekly hours carelli swedish endemol alongside channel presented privacy actress pay day celebrities chris living sony television series news brazilian entertainment 2001 clock version steps junior offer produced created isolated prize remains coverage avoiding group rodrigo originally strix fazenda view record based win cameras eviction compete contestants reporter britto association
2,8892,Pinoy Big Brother,2456.098,tt0479336,3.5,138,tvSeries,2005,reality competition game-show housemates reality-competition big-brother relationships eventually adaptation winner big tasks challenges supervised housemates game filipino program live week share philippine brother features stories reality evicted build decides nomination public meaningful
3,84773,The Lord of the Rings: The Rings of Power,2311.669,tt7631058,6.9,376058,tvSeries,2022,action-&-adventure sci-fi-&-fantasy drama elves dwarf based-on-novel-or-book prequel battle fantasy-world mysterious-stranger franchise high-fantasy sword-and-sorcery creatures strong-female-protagonist epic-quest trolls harfoots characters ensemble mountains númenor evil reaches time darkest cast breathtaking depths furthest live peace majestic kingdoms long legacies emergence confront kingdom earth island relative lindon misty follow forests carve map middle
4,122653,Gutfeld!,2198.986,tt14401604,6.1,1649,tvSeries,2021,comedy talk  culture fused pop greg news gutfeld day satiric lens examines
5,136166,Lang Leve de Liefde,2084.677,tt15303180,6.8,21,tvSeries,2020,reality romance dating leve liefde lang
6,242101,Cacau,1951.255,tt28183323,6.6,40,tvSeries,2024,drama  saga engaging loves magic secrets cocoa cacau chocolate plantations clandestine sacrifices sweetened irresistible taste family
7,242099,Senhora do Mar,1945.993,tt29625999,7.2,33,tvSeries,2024,drama mar-aberto senhora mar
8,81329,Chronicles of the Sun,1933.633,tt8883922,5.8,108,tvSeries,2018,soap  friend arrested returns montpellier childhood claire surprised murder
9,242931,Pulang Araw,1900.673,tt31381986,9.2,80,tvSeries,2024,action-&-adventure drama war-&-politics family world-war-ii period-drama historical historical-drama unsung courage red philippines defied filipino drama sun japanese odds tells stories occupation sacrifice hardships inspired tales heroes war family
10,243117,"Plus belle la vie, encore plus belle",1848.339,tt29694831,7.3,16,tvSeries,2024,soap drama  belle vie encore
11,218145,Mom for rent,1763.787,tt26628159,4.3,22,tvSeries,2023,family comedy  martin hanka lies daughter completely changed lying nada rent unbearable wife lives upset abandoned unexpectedly mother meets asked grows
12,112470,Ici tout commence,1744.91,tt13392064,7.0,99,tvSeries,2020,soap drama  renowned relationships complex television series students staff challenges culinary professional secrets drama armand school navigate auguste lives pressures revealing centered prestigious chef delving rivalries personal
13,61818,Late Night with Seth Meyers,1670.782,tt3513388,6.3,8030,tvSeries,2014,talk comedy late-night-show popular sharp nbc update list spot longest perfectly anchor wit musical late writer seth departure night timed celebrity wildly fame satire saturday fallon live established talent serving snl host jokes weekend comedy gained head jimmy guests moves post winning meyers emmy memorable reputation award takes tonight
14,247174,El Conde: Amor y Honor,1659.962,tt20601772,8.9,46,tvSeries,2024,drama  revenge count zambrano years loves conviction gaitán woman separates alejandro turned seeks jail prisoner 17 mariana wrongful life
15,82708,The First Years,1656.425,tt4469214,4.5,140,tvSeries,2014,soap drama high-school mockumentary young-adult series situations recreated young years secondary confronted people year school pupils subjects dutch real sheds light life
16,252373,A Promessa,1339.342,tt31860590,7.8,18,tvSeries,2024,drama  promessa
17,246331,Su Ji and U Ri,1314.974,tt31908553,8.6,16,tvSeries,2024,family drama affectation angry familiar hopeful joyful healing ji jin star fallen doctor choi su romance stubborn newbie
18,206559,Binnelanders,1226.378,tt1527854,7.6,62,tvSeries,2005,soap afrikaans hospital soap dramatic drama storyline trauma binneland soap staff african private south patients afrikaans trials hospital set kliniek tribulations opera fictional pretoria
19,18770,Gran Hermano,1197.195,tt0262163,2.2,181,tvSeries,2000,reality  gran television big series endemol hermano 2012 aired spain produced franchise brother reality developed february editions netherlands siete broadcast telecinco 19
20,72879,Tomorrow Is Ours,1174.016,tt7124904,5.1,167,tvSeries,2017,crime drama police-officer betrayals investigations story scenes daily revolves secrets people punctuated lives romance plots involving police france rivalries sète family life
21,206679,Na lovu,1122.308,tt21340756,7.3,12,tvSeries,2021,reality family game-show quiz popular format genius based wits license face heart game czech quiz determined cash pit lovu competitors prizes lovec racing global chase chaser winning ruthless
22,235484,Suidooster,1101.493,tt5467444,8.7,46,tvSeries,2015,soap  television soap small african revolves south cape suburb people produced town films friends matriarch business opera suidooster fictional ruiterbosch centre shopping family
23,239526,Sueños de libertad,1026.258,tt30002038,8.8,87,tvSeries,2024,drama period-drama 1950s soap-opera sueños libertad
24,4682,Strictly Come Dancing: It Takes Two,1007.032,tt0439401,5.0,150,tvSeries,2004,  popular couples programme footage opinions main night interviews saturday training features judges companion competing previous bbc watching dancing strictly celebrities
25,24400,Deadly 60,1003.057,tt1692560,8.0,512,tvSeries,2009,documentary  animals presenter backshall 60 tracks wildlife deadliest steve
26,256121,Lavender Fields,976.928,tt32537273,8.1,10,tvSeries,2024,drama action-&-adventure organized-crime soap-opera thriller revenge-drama loved idyllic revenge town brush criminal identity jasmin empire mountain life
