,id,title,overview,genres,keywords,first_air_date,characters,popularity,imdb_id,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,tags
0,242722,Shrimad Ramayan,"Shrimad Ramayan is an ambitious television series that brings to life the timeless epic, the Ramayan, with a deep commitment to authenticity, cultural reverence and a contemporary sensibility.",Drama Family,ramayana ramayan shrimad-ramayana,2024-01-22,"['Vishnu /  Ram', 'Laxmi / Sita', 'Raavan', 'Lakshman', 'Hanuman', 'Dashrath', 'Kaushalya', 'Kaikeyi', 'Shiva', 'Parvati']",3216.286,tt30145246,9.1,1580,tvSeries,Shrimad Ramayan,Shrimad Ramayan,0,2024,\N,drama family ramayana ramayan shrimad-ramayana shrimad television series cultural deep ramayan reverence ambitious epic timeless contemporary sensibility brings commitment life authenticity
1,31342,A Fazenda,"A Fazenda is the current Brazilian version of the The Farm reality television show based on the Swedish television series of the same name that was originally created in 2001 by Strix and produced in association with Sony Entertainment and Endemol.

The show is based on a group of celebrities living together twenty-four hours a day in a Farm, isolated from the outside world while having all their steps followed by cameras around-the-clock, with no privacy for three months.

The contestants compete for the chance to win the grand prize by avoiding weekly eviction, until the last celebrity remains at the end of the season that can claim the grand prize. The show is presented by news reporter Britto Junior alongside actress Chris Couto and directed by Rodrigo Carelli. Record's website and a Record-owned pay-per-view channel offer round-the-clock coverage.",Reality,,2009-05-31,[],2661.898,tt1842561,4.9,126,tvSeries,A Fazenda,A Fazenda,0,2009,\N,reality  couto website chance claim months round celebrity grand owned farm season reality directed current weekly hours carelli swedish endemol alongside channel presented privacy actress pay day celebrities chris living sony television series news brazilian entertainment 2001 clock version steps junior offer produced created isolated prize remains coverage avoiding group rodrigo originally strix fazenda view record based win cameras eviction compete contestants reporter britto association
2,8892,Pinoy Big Brother,"The Philippine adaptation of the reality game show ""Big Brother"" features Filipino housemates live together, share their stories and build meaningful relationships as they do tasks and challenges supervised by Big Brother. Every week a nomination is done, and the public decides who gets evicted and eventually become the Big Winner of the program.",Reality,competition game-show housemates reality-competition big-brother,2005-08-21,"['Self - Host', 'Self - Host', 'Self - Host', 'Self - Host', 'Self - Host', 'Self - Host']",2456.098,tt0479336,3.5,138,tvSeries,Pinoy Big Brother,Pinoy Big Brother,0,2005,\N,reality competition game-show housemates reality-competition big-brother relationships eventually adaptation winner big tasks challenges supervised housemates game filipino program live week share philippine brother features stories reality evicted build decides nomination public meaningful
3,84773,The Lord of the Rings: The Rings of Power,"Beginning in a time of relative peace, we follow an ensemble cast of characters as they confront the re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone.",Action-&-Adventure Sci-Fi-&-Fantasy Drama,elves dwarf based-on-novel-or-book prequel battle fantasy-world mysterious-stranger franchise high-fantasy sword-and-sorcery creatures strong-female-protagonist epic-quest trolls harfoots,2022-09-01,"['Sauron / Annatar', 'Galadriel', 'Elrond', 'The Stranger', ""Elanor 'Nori' Brandyfoot"", 'Celebrimbor', 'Arondir', 'Durin IV', 'Elendil', 'Disa', 'Isildur', 'Theo', 'Pharazôn', 'Míriel', 'Adar', 'Poppy Proudfellow', 'Eärien', 'Waldreg', 'Valandil']",2311.669,tt7631058,6.9,376058,tvSeries,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,0,2022,60,action-&-adventure sci-fi-&-fantasy drama elves dwarf based-on-novel-or-book prequel battle fantasy-world mysterious-stranger franchise high-fantasy sword-and-sorcery creatures strong-female-protagonist epic-quest trolls harfoots characters ensemble mountains númenor evil reaches time darkest cast breathtaking depths furthest live peace majestic kingdoms long legacies emergence confront kingdom earth island relative lindon misty follow forests carve map middle
4,122653,Gutfeld!,Greg Gutfeld examines the news of the day through a satiric lens fused with pop culture.,Comedy Talk,,2021-04-05,"['Katherine Timpf', 'Greg Gutfeld']",2198.986,tt14401604,6.1,1649,tvSeries,Gutfeld!,Gutfeld!,0,2021,60,comedy talk  culture fused pop greg news gutfeld day satiric lens examines
5,136166,Lang Leve de Liefde,Lang Leve de Liefde,Reality,romance dating,2020-01-20,['Self (Voice-over)'],2084.677,tt15303180,6.8,21,tvSeries,Lang leve de liefde,Lang leve de liefde,0,2020,\N,reality romance dating leve liefde lang
6,242101,Cacau,"Cacau is an engaging saga of family secrets, clandestine loves and sacrifices, all sweetened by the irresistible taste of chocolate and the magic of cocoa plantations.",Drama,,2024-01-15,"['Clara ""Cacau"" Coutinho', 'Tiago Saavedra', 'Simone Vaz Pereira', 'Justino Vaz Pereira', 'Salomão Saavedra', 'Laura ""Lalá"" Vasconcelos', 'Júlia Saavedra', 'Marco Figueroa', 'Jaime Vasconcelos', 'Rui Fortunato', 'Filomena ""Filó"" Coutinho', 'Vitória Falcão', 'Joaquim ""Quim"" Coutinho', 'Salomé ""Sal"" Eugénia Vaz Pereira', 'Valdemar Castelli', 'António Manuel ""Tomané""', 'Filipa ""Pipa"" Xavier', 'Kenny ""Kennedy"" Marques', 'Martim Vasconcelos', 'Cláudia Xavier', 'Anita Coutinho', 'Guto', 'Pitty', 'Lola', 'Soraia', 'Francisca ""Chiquinha"" Silva / Regina Castelli', 'Heitor da Silva', 'Marlene', 'David']",1951.255,tt28183323,6.6,40,tvSeries,Cacau,Cacau,0,2024,\N,drama  saga engaging loves magic secrets cocoa cacau chocolate plantations clandestine sacrifices sweetened irresistible taste family
7,242099,Senhora do Mar,Senhora do Mar,Drama,mar-aberto,2024-02-05,"['Joana Gonçalves Pedrosa', 'Manuel Bettencourt', 'Maria Silva Castro', 'Pedro Bettencourt', 'Padre Filipe Pinheiro', 'Artur Bettencourt', 'Francisca Medeiros', 'Paula Soares', 'Susana Cordeiro', 'Alexandre ""Alex"" Borges', 'Leonor Pires', 'Alberto Melo', 'Márcia Guedes', 'Óscar Ramos', 'Flávia Assunção', 'Jesus Costa', 'Luísa Cordeiro', 'Abel Silva', 'Madalena Bettencourt', 'Sérgio Pires', 'Jaime Cordeiro', 'Teresa Vilar', 'Michael Machado', 'Lurdes Pires', 'José ""Zé"" Batista', 'Rita Bettencourt', 'Ricardo Medeiros', 'Carla Guedes', 'Rúben Semião', 'Vanessa Santos', 'Beatriz Melo', 'Renato Melo', 'Robert Machado', 'David Monteiro', 'Anabela Guedes', 'Judite Gonçalves', 'Genoveva Ramalho', 'Adérito Ramalho']",1945.993,tt29625999,7.2,33,tvSeries,Senhora do Mar,Senhora do Mar,0,2024,\N,drama mar-aberto senhora mar
8,81329,Chronicles of the Sun,Claire is surprised when she gets arrested for the murder of her childhood friend after she returns to Montpellier.,Soap,,2018-08-27,"['Claire', 'Manu', 'Alice Bastide', 'Clément Becker', 'Dr Janet Lewis', 'Dr. Alain Alphand', 'Élizabeth Bastide', 'Ève Prodi', 'Alexandre Levy', 'Johanna Lemeur', 'Emma', 'Estelle Toussaint']",1933.633,tt8883922,5.8,108,tvSeries,Chronicles of the Sun,Un si grand soleil,0,2018,26,soap  friend arrested returns montpellier childhood claire surprised murder
9,242931,Pulang Araw,"Red Sun is a family drama that tells stories of courage, sacrifice, and hardships that every Filipino family has. These stories were inspired by the tales of the unsung heroes who defied the odds of World War II and the Japanese occupation of the Philippines.",Action-&-Adventure Drama War-&-Politics Family,world-war-ii period-drama historical historical-drama,2024-07-29,"['Eduardo dela Cruz', ""Teresita 'Morena' Borromeo"", ""Adelina 'Chinita' dela Cruz"", 'Hiroshi Tanaka', 'Yuta Saito', 'Carmela Borromeo', 'Julio Borromeo', 'Amalia Dimalanta-Torres', '""Tatay"" Johnny', 'Lauro Torres', 'Manuela Apolonio', 'Tasyo', 'Luis', 'Dado', 'Juan', 'Tanaka Chikara', 'Haruka', 'Akio Watanabe']",1900.673,tt31381986,9.2,80,tvSeries,Red Sun,Pulang araw,0,2024,\N,action-&-adventure drama war-&-politics family world-war-ii period-drama historical historical-drama unsung courage red philippines defied filipino drama sun japanese odds tells stories occupation sacrifice hardships inspired tales heroes war family
10,243117,"Plus belle la vie, encore plus belle","Plus belle la vie, encore plus belle",Soap Drama,,2024-01-08,"['Thomas Marci', 'Mirta Torres', 'Blanche Marci', 'Luna Torres', 'Jean-Paul Boher', 'Barbara Évenot', 'Gabriel Riva', 'Léa Nebout', 'Babeth Nebout', 'Patrick Nebout', 'Yolande Sandré', 'Ariane Hersant', 'Nisma Bailly', 'Kilian Corcel', 'Jules Langlois', 'Estelle Cantorel', 'Francesco Ibaldi', 'Djawad Sangha', 'Éric Norman', 'Morgane Tanguy']",1848.339,tt29694831,7.3,16,tvSeries,"Plus belle la vie, encore plus belle","Plus belle la vie, encore plus belle",0,2024,20,soap drama  belle vie encore
11,218145,Mom for rent,"Abandoned by his wife, Martin is lying to his daughter not to be upset. But as Hanka grows, these lies become unbearable. Martin meets Nada unexpectedly, asked her to be a rent-a-mother and all lives are completely changed.",Family Comedy,,2023-01-09,"['Martin Toman', 'Nadežda „Nadi“ Vernerová', 'Hanka Tomanová', 'Eduard „Edo“ Toman', 'Dušan Verner', 'Juraj Verner']",1763.787,tt26628159,4.3,22,tvSeries,Mama na prenájom,Mama na prenájom,0,2023,\N,family comedy  martin hanka lies daughter completely changed lying nada rent unbearable wife lives upset abandoned unexpectedly mother meets asked grows
12,112470,Ici tout commence,"This television drama series is centered around the prestigious culinary school of renowned chef Auguste Armand. The show follows the lives of students and staff as they navigate the challenges and pressures of the culinary world—delving into their personal and professional lives, revealing secrets, rivalries, and complex relationships.",Soap Drama,,2020-11-02,"['Salomé Dekens', 'Anaïs Grimbert', 'Célia Gaissac', 'Eliott Prevost', 'Hortense Rochemont', 'Ludivine Rivière', 'Louane Rivière', 'Mehdi Mabsoute', 'Charlène Teyssier', 'Marta Guéraud', 'Amandine Delprat', 'Auguste Armand', 'Rose Latour', 'Clotilde Armand', 'Guillaume Devaut', 'Jérémy Devaut', 'Maxime Delcourt-Bertrand', 'Antoine Myriel', 'Lisandro Inesta', 'Noémie Matret', 'Claire Guinot', 'Gaëtan Rivière', 'Emmanuel Teyssier', 'Enzo Lopez', 'Daniel Rochemont', 'Laetitia Rigaut', 'Kelly', 'Constance Teyssier', 'Stella Matret', 'Greg Delobel', 'Jasmine Kasmi', 'Gabrielle Massa', 'Joachim', 'Ambre Martin', 'Deva Syed']",1744.91,tt13392064,7.0,99,tvSeries,Ici tout commence,Ici tout commence,0,2020,\N,soap drama  renowned relationships complex television series students staff challenges culinary professional secrets drama armand school navigate auguste lives pressures revealing centered prestigious chef delving rivalries personal
13,61818,Late Night with Seth Meyers,"Seth Meyers, who is ""Saturday Night Live’s"" longest serving anchor on the show’s wildly popular ""Weekend Update,"" takes over as host of NBC’s ""Late Night"" — home to A-list celebrity guests, memorable comedy and the best in musical talent. As the Emmy Award-winning head writer for ""SNL,"" Meyers has established a reputation for sharp wit and perfectly timed comedy, and has gained fame for his spot-on jokes and satire. Meyers takes his departure from ""SNL"" to his new post at ""Late Night,"" as Jimmy Fallon moves to ""The Tonight Show"".",Talk Comedy,late-night-show,2014-02-25,['Self - Host'],1670.782,tt3513388,6.3,8030,tvSeries,Late Night with Seth Meyers,Late Night with Seth Meyers,0,2014,60,talk comedy late-night-show popular sharp nbc update list spot longest perfectly anchor wit musical late writer seth departure night timed celebrity wildly fame satire saturday fallon live established talent serving snl host jokes weekend comedy gained head jimmy guests moves post winning meyers emmy memorable reputation award takes tonight
14,247174,El Conde: Amor y Honor,"A wrongful conviction changes the life of Alejandro Gaitán and separates him from the woman he loves, Mariana Zambrano. After 17 years in jail, he becomes a count with the help of another prisoner and seeks revenge on those who turned on him.",Drama,,2024-07-01,"['Alejandro Gaitán / Conde', 'Mariana Zambrano', 'Cayetana Carrá', 'Gerardo Villarreal', 'Josefina de Zambrano', 'Ricardo Sánchez', 'Guadalupe de Gaitán', 'Benjamín Zambrano', 'Leopoldo Villarreal', 'Amador Guzmán', 'Memo Garza', 'Alfredo Gallardo', 'Paulina de Zambrano', 'Felipe Zambrano']",1659.962,tt20601772,8.9,46,tvSeries,The Count: Love and Honor,El Conde: Amor y honor,0,2024,60,drama  revenge count zambrano years loves conviction gaitán woman separates alejandro turned seeks jail prisoner 17 mariana wrongful life
15,82708,The First Years,The First Years is a Dutch series for young people in which real-life situations are recreated. The series sheds light on subjects that pupils in the first year of secondary school may be confronted with.,Soap Drama,high-school mockumentary young-adult,2014-05-26,"['Yuna', 'Ryan', 'Amir', 'Jade', 'Ramses', 'Violet']",1656.425,tt4469214,4.5,140,tvSeries,Brugklas,Brugklas,0,2014,10,soap drama high-school mockumentary young-adult series situations recreated young years secondary confronted people year school pupils subjects dutch real sheds light life
16,252373,A Promessa,A Promessa,Drama,,2024-06-18,"['Verónica Rocha Morais', 'Laura Rocha', 'Olga', 'Bianca Trindade', 'Helena Morais', 'Joaquim Pimenta', 'Duarte Sarmento', 'Raquel Candeias', 'Micaela Sarmento', 'Nuno Rocha', 'Miguel Morais', 'António Morais', '', 'Maria Rocha', 'Tomás Morais', 'Lurdes Rocha', 'Camila Fontes Morais', 'Nelson', 'Leonor Sarmento', 'Rogério Candeias', 'Ronaldo Pimenta', 'Bruno', 'Isaura Trindade', 'Xavier Trindade', 'Elsa Candeias', 'Samuel Candeias', 'Soraia Pimenta', 'Isabel Candeias']",1339.342,tt31860590,7.8,18,tvSeries,A Promessa,A Promessa,0,2024,\N,drama  promessa
17,246331,Su Ji and U Ri,A healing romance begins between fallen star doctor Jin Su Ji and stubborn newbie doctor Choi U Ri.,Family Drama,affectation angry familiar hopeful joyful,2024-03-25,"['Jin Su-ji', 'Choi U-ri', 'Chae Sun-young', 'Jin Na-young', 'Han Hyun-sung', '', 'Kim Ma-ri', 'Jang Yoon-ja', 'Jin Jang-soo', 'Park Bok-seon', 'Jin Do-young', 'Kang Woo-chang', 'Chae Doo-ri', 'Jo A-ra', 'Han Jin-tae', 'Mo Young-soo', 'Yoon Ga-rim']",1314.974,tt31908553,8.6,16,tvSeries,Su Ji and U Ri,Soojimazeun Woori,0,2024,30,family drama affectation angry familiar hopeful joyful healing ji jin star fallen doctor choi su romance stubborn newbie
